session_id,vehicle_id,vehicle_type,number_plate,entry_time,exit_time,crossing_duration,run_type,algorithm,created_at
session_1781681691774,v203,two_wheeler,AP37AW6115,0.0,241.9,241.9,baseline,fixed_time,2026-06-17T07:35:35.411564
session_1781681691774,v204,ev_scooter,DL37OM7010,0.0,242.2,242.2,baseline,fixed_time,2026-06-17T07:35:35.417598
session_1781681691774,v205,two_wheeler,HR94JR6564,0.0,243.4,243.4,baseline,fixed_time,2026-06-17T07:35:35.490166
session_1781681691774,v216,auto_rickshaw,KL69XI1284,0.0,244.8,244.8,baseline,fixed_time,2026-06-17T07:35:35.617547
session_1781681691774,v218,two_wheeler,TS30GO9324,0.0,246.8,246.8,baseline,fixed_time,2026-06-17T07:35:35.805435
session_1781681691774,v209,tsrtc_bus,KA08RP3023,0.0,248.1,248.1,baseline,fixed_time,2026-06-17T07:35:35.881944
session_1781681691774,v211,car,UP33ZK4402,0.0,251.0,251.0,baseline,fixed_time,2026-06-17T07:35:36.084028
session_1781681691774,v212,auto_rickshaw,UP99OI5984,0.0,252.5,252.5,baseline,fixed_time,2026-06-17T07:35:36.156774
session_1781681691774,v225,two_wheeler,KA50TU4105,0.0,254.8,254.8,baseline,fixed_time,2026-06-17T07:35:36.362804
session_1781681691774,v220,car,KL81JG4290,0.0,261.0,261.0,baseline,fixed_time,2026-06-17T07:35:36.768548
session_1781681691774,v219,e_rickshaw,TS55HO9472,0.0,261.1,261.1,baseline,fixed_time,2026-06-17T07:35:36.777742
session_1781681691774,v197,car,AP64RW5752,0.0,263.4,263.4,baseline,fixed_time,2026-06-17T07:35:36.920037
session_1781681691774,v221,car,GJ01QN1175,0.0,263.7,263.7,baseline,fixed_time,2026-06-17T07:35:36.928479
session_1781681691774,v235,auto_rickshaw,UP75YG4688,0.0,266.8,266.8,baseline,fixed_time,2026-06-17T07:35:37.192863
session_1781681691774,v236,delivery_bike,KL69LU3260,0.0,268.8,268.8,baseline,fixed_time,2026-06-17T07:35:37.335830
